Age,Ayrshire and Arran,Borders,Dumfries and Galloway,Forth Valley,Grampian,Highland,Lothian,Orkney,Shetland,Western Isles,Fife,Tayside,Greater Glasgow and Clyde,Lanarkshire
0,2924,862,1049,2624,5301,2455,8390,173,184,185,3167,3365,10744,6316
1,2893,872,1155,2546,5128,2490,8198,186,176,181,3055,3348,10374,6097
2,3316,973,1195,2691,5687,2648,8456,199,214,207,3420,3637,11168,6728
3,3177,996,1237,2738,5925,2757,8473,202,239,226,3460,3669,11211,6641
4,3316,1056,1281,2944,6057,2739,8697,200,235,212,3561,3668,11489,7028
5,3562,1065,1334,2934,6264,3001,9118,218,265,261,3638,3960,11633,6952
6,3650,1138,1325,3094,6487,3052,9218,212,234,237,3731,4061,12141,7067
7,3796,1085,1311,3086,6294,3257,9383,213,280,235,3922,4180,12138,7321
8,3692,1227,1381,3237,6399,3196,9625,220,263,285,3992,4168,12051,7211
9,3881,1214,1495,3282,6553,3331,9721,237,311,282,4144,4348,12698,7416
10,4116,1244,1503,3462,6624,3354,9745,229,274,267,4248,4581,12817,7795
11,4100,1302,1517,3491,6637,3503,9666,214,296,257,4228,4478,12735,7704
12,4004,1270,1564,3549,6706,3482,9701,230,315,269,4439,4493,12502,7850
13,4082,1307,1541,3552,6514,3551,9692,255,296,251,4398,4566,12567,7785
14,4024,1300,1650,3639,6515,3588,9716,242,279,296,4312,4686,12605,7854
15,4069,1311,1626,3555,6347,3392,9295,276,325,311,4130,4459,11920,7785
16,3994,1230,1606,3467,6000,3379,8968,222,277,251,4047,4324,12070,7613
17,3839,1254,1554,3329,5853,3282,8570,205,258,263,3898,4296,11802,7218
18,3504,1030,1110,3449,6548,2830,11827,174,238,254,4247,5010,14893,7267
19,3416,987,1189,3603,6978,2495,12885,152,192,202,5094,5335,16014,7046
20,3381,994,1074,3729,6585,2597,13449,162,167,154,5325,5411,15892,7069
21,3617,982,1261,3918,7045,2791,14057,163,193,178,4964,5461,16806,7231
22,3724,982,1288,3792,7348,2841,14881,177,227,194,4653,5547,18141,7617
23,3596,940,1272,3543,6740,2834,14112,180,206,204,4035,5018,17896,7496
24,3519,994,1362,3394,6726,3000,13082,186,234,178,3874,4980,18298,7467
25,3634,993,1311,3375,6692,2870,12976,194,210,205,3953,4887,17765,7563
26,3666,1043,1381,3370,6555,3001,12969,228,237,267,3844,4801,17800,7596
27,3618,1032,1324,3362,6671,3103,13071,237,224,222,3901,4557,17653,7665
28,3788,1046,1455,3357,6959,3226,13442,209,276,235,4086,4725,17314,7870
29,3831,1115,1440,3650,7070,3366,13440,230,274,218,4075,4991,17564,8128
30,4063,1125,1445,3767,7344,3405,13701,275,264,255,4222,4928,17994,8611
31,4101,1174,1487,3726,7596,3454,14175,250,271,225,4241,5097,17756,8496
32,4055,1155,1497,3564,7501,3490,13406,287,259,256,4287,4816,17290,8201
33,4075,1115,1537,3431,7690,3633,13772,212,281,282,4469,4896,17432,8462
34,4164,1188,1566,3852,7755,3451,13506,268,290,262,4543,5081,17417,8618
35,3894,1122,1486,3396,7809,3597,13207,237,297,254,4390,4894,16590,8275
36,4057,1166,1479,3576,7757,3524,13084,260,266,231,4529,5101,16470,8525
37,4124,1161,1496,3627,7858,3621,12853,242,252,257,4347,5090,16091,8659
38,4044,1249,1383,3564,7637,3667,12539,238,270,236,4349,5023,15740,8519
39,4067,1263,1487,3721,7697,3651,12772,255,244,294,4451,4764,15558,8732
40,4302,1253,1566,3856,7654,3861,12353,206,266,279,4501,5128,15255,8812
41,4342,1301,1426,3753,7887,3971,12347,241,314,271,4632,4979,15369,9290
42,4087,1253,1468,3744,7729,3794,12539,255,269,309,4536,4724,15152,8806
43,3992,1223,1448,3761,7258,3535,11498,240,265,354,4267,4620,14103,8277
44,3882,1155,1371,3516,6909,3457,10880,218,265,273,4101,4332,13030,7890
45,3766,1160,1330,3559,7016,3574,10832,222,301,329,4216,4308,12953,7738
46,4238,1322,1521,3778,7078,3823,10997,251,285,347,4332,4541,13492,8361
47,4392,1417,1645,3964,7338,3850,11219,272,296,282,4467,4610,13504,8427
48,4539,1436,1673,4012,7545,3986,11312,245,303,328,4481,4861,13747,8694
49,4882,1567,1728,4265,7787,4264,11410,281,332,371,4766,5194,14466,9179
50,5208,1726,2047,4559,8241,4602,12151,319,332,397,5141,5617,15128,9868
51,5408,1777,2036,4661,8423,4803,12148,321,323,373,5372,5595,15900,10055
52,5537,1779,2223,4649,8166,4886,11960,371,349,434,5344,5663,15780,10251
53,5645,1936,2317,4830,8402,5048,12522,327,332,449,5654,6002,16581,10622
54,5764,1867,2273,4810,8269,5213,12417,363,366,451,5542,5974,16526,10751
55,5819,2003,2414,4768,8380,5391,12094,401,322,461,5646,6055,16528,10414
56,5998,1949,2437,4724,8334,5307,12120,374,342,441,5780,6214,16914,10254
57,6285,2069,2607,4868,8483,5761,12589,386,368,442,5784,6358,17325,10731
58,5914,2002,2648,4776,8683,5529,11927,353,342,472,5670,6256,17138,10417
59,5940,1951,2498,4627,8287,5262,11996,374,360,434,5569,6385,16622,10299
60,5701,1906,2460,4396,7952,5272,11267,346,329,453,5445,5999,16325,9823
61,5725,1869,2433,4378,7716,5165,11283,358,337,440,5327,6098,16201,9396
62,5395,1827,2462,4032,7567,4906,10725,366,283,409,5248,5701,15115,9052
63,5697,1932,2323,4009,7554,5031,10441,327,308,444,5228,5766,15076,9095
64,5450,1856,2299,3783,7405,4867,10247,315,306,403,5036,5632,14557,8827
65,5177,1780,2175,3614,7125,4743,9542,309,257,405,4678,5339,13639,8413
66,5086,1703,2229,3521,7023,4584,9122,299,323,385,4632,5066,13287,8065
67,4904,1690,2164,3393,6703,4445,8747,296,285,394,4450,4891,12487,7801
68,4900,1644,2065,3391,6478,4442,8596,289,274,369,4300,5008,11794,7548
69,4780,1649,2095,3259,5990,4324,8193,325,239,365,4239,4952,11286,7195
70,4488,1555,2029,3172,6170,4244,8102,273,267,370,4128,4634,10715,6746
71,4525,1569,2095,3230,5891,4096,7952,284,258,338,4172,4673,10407,6626
72,4470,1589,2025,3274,5936,4144,8090,249,270,369,4134,4735,10122,6602
73,4641,1613,2045,3227,6021,4244,8004,285,237,353,4307,4810,10244,6487
74,4830,1695,2206,3398,6326,4377,8497,271,286,354,4566,5098,10490,6821
75,4681,1694,2117,3373,6196,4060,8240,324,226,364,4434,5014,9950,6381
76,3427,1219,1543,2361,4370,3127,6003,197,212,230,3157,3531,7534,4776
77,3540,1247,1645,2418,4275,3098,5964,230,200,267,3305,3604,7650,4877
78,3375,1140,1544,2355,4014,2994,5617,227,198,246,3050,3449,7307,4678
79,2971,1062,1428,2056,3872,2742,5159,208,208,258,2759,3203,6722,4341
80,2638,938,1337,1855,3421,2359,4583,170,183,203,2486,2788,5806,3798
81,2385,861,1131,1658,3089,2176,4243,166,131,234,2085,2577,5577,3398
82,2338,871,1085,1526,3065,2097,4090,166,139,200,2134,2535,5299,3314
83,2123,796,976,1559,2732,1875,3777,140,136,204,1906,2384,5037,3041
84,1850,649,905,1351,2639,1716,3535,114,109,174,1705,2173,4663,2725
85,1747,617,820,1250,2210,1567,3065,120,94,129,1552,1859,4174,2510
86,1437,539,742,1046,2053,1423,2854,83,86,123,1433,1741,3714,2162
87,1284,472,646,903,1819,1226,2482,94,84,108,1233,1663,3378,1863
88,1138,428,534,685,1627,1106,2272,85,60,102,1074,1351,2890,1541
89,981,384,450,631,1304,868,1886,51,45,89,875,1123,2498,1285
90,786,294,379,570,1146,769,1692,52,36,64,743,1052,2125,1037
91,631,277,318,448,961,629,1353,46,36,52,574,958,1732,809
92,455,199,237,304,678,434,1040,64,34,55,514,676,1283,659
93,335,165,214,286,560,376,734,22,28,43,429,511,1045,512
94,317,102,100,162,421,271,555,10,19,21,268,366,713,355
95,218,83,100,117,301,232,485,12,6,19,187,318,533,246
96,161,74,90,137,234,162,339,6,10,15,185,190,433,217
97,119,46,48,82,180,81,221,4,10,9,117,113,280,123
98,67,16,29,45,149,66,187,3,9,9,65,115,184,81
99,64,32,18,35,49,61,103,5,0,9,57,89,137,68
100,111,36,31,50,88,84,187,4,6,17,75,81,250,103
